,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,Notes
180,"Tue, Dec 23, 2014",8:00p,Portland Trail Blazers,115,Oklahoma City Thunder,111,Box Score,OT,18203,
181,"Tue, Dec 23, 2014",9:00p,Dallas Mavericks,115,Phoenix Suns,124,Box Score,,18055,
182,"Tue, Dec 23, 2014",10:30p,Golden State Warriors,105,Los Angeles Lakers,115,Box Score,,18997,
183,"Thu, Dec 25, 2014",12:00p,Washington Wizards,102,New York Knicks,91,Box Score,,19812,
184,"Thu, Dec 25, 2014",2:30p,Oklahoma City Thunder,114,San Antonio Spurs,106,Box Score,,18581,
185,"Thu, Dec 25, 2014",5:00p,Cleveland Cavaliers,91,Miami Heat,101,Box Score,,19817,
186,"Thu, Dec 25, 2014",8:00p,Los Angeles Lakers,93,Chicago Bulls,113,Box Score,,22865,
187,"Thu, Dec 25, 2014",10:30p,Golden State Warriors,86,Los Angeles Clippers,100,Box Score,,19540,
188,"Fri, Dec 26, 2014",1:00p,Brooklyn Nets,109,Boston Celtics,107,Box Score,,18624,
189,"Fri, Dec 26, 2014",7:00p,Cleveland Cavaliers,98,Orlando Magic,89,Box Score,,18846,
190,"Fri, Dec 26, 2014",7:30p,Milwaukee Bucks,107,Atlanta Hawks,77,Box Score,,19016,
191,"Fri, Dec 26, 2014",7:30p,Indiana Pacers,109,Detroit Pistons,119,Box Score,,13408,
192,"Fri, Dec 26, 2014",8:00p,Houston Rockets,117,Memphis Grizzlies,111,Box Score,OT,18119,
193,"Fri, Dec 26, 2014",8:00p,San Antonio Spurs,90,New Orleans Pelicans,97,Box Score,,18376,
194,"Fri, Dec 26, 2014",8:00p,Charlotte Hornets,75,Oklahoma City Thunder,98,Box Score,,18203,
195,"Fri, Dec 26, 2014",8:30p,Los Angeles Lakers,98,Dallas Mavericks,102,Box Score,,20424,
196,"Fri, Dec 26, 2014",9:00p,Minnesota Timberwolves,102,Denver Nuggets,106,Box Score,,14516,
197,"Fri, Dec 26, 2014",10:00p,Philadelphia 76ers,93,Portland Trail Blazers,114,Box Score,,19972,
198,"Fri, Dec 26, 2014",10:00p,Phoenix Suns,115,Sacramento Kings,106,Box Score,,17317,
199,"Sat, Dec 27, 2014",3:30p,Toronto Raptors,110,Los Angeles Clippers,98,Box Score,,19335,
200,"Sat, Dec 27, 2014",7:00p,Orlando Magic,102,Charlotte Hornets,94,Box Score,,19085,
201,"Sat, Dec 27, 2014",7:00p,Boston Celtics,88,Washington Wizards,101,Box Score,,20356,
202,"Sat, Dec 27, 2014",7:30p,Memphis Grizzlies,103,Miami Heat,95,Box Score,,19744,
203,"Sat, Dec 27, 2014",8:00p,Indiana Pacers,110,Brooklyn Nets,85,Box Score,,17732,
204,"Sat, Dec 27, 2014",8:00p,New Orleans Pelicans,100,Chicago Bulls,107,Box Score,,21935,
205,"Sat, Dec 27, 2014",8:30p,Atlanta Hawks,90,Milwaukee Bucks,85,Box Score,,16788,
206,"Sat, Dec 27, 2014",9:00p,Philadelphia 76ers,71,Utah Jazz,88,Box Score,,18890,
207,"Sat, Dec 27, 2014",10:00p,New York Knicks,129,Sacramento Kings,135,Box Score,OT,17317,
208,"Sat, Dec 27, 2014",10:30p,Minnesota Timberwolves,97,Golden State Warriors,110,Box Score,,19596,
209,"Sun, Dec 28, 2014",4:30p,Detroit Pistons,103,Cleveland Cavaliers,80,Box Score,,20562,
210,"Sun, Dec 28, 2014",7:00p,Houston Rockets,106,San Antonio Spurs,110,Box Score,,18581,
211,"Sun, Dec 28, 2014",7:30p,Oklahoma City Thunder,107,Dallas Mavericks,112,Box Score,,20417,
212,"Sun, Dec 28, 2014",9:00p,Toronto Raptors,116,Denver Nuggets,102,Box Score,,14216,
213,"Sun, Dec 28, 2014",9:00p,New York Knicks,79,Portland Trail Blazers,101,Box Score,,19800,
214,"Sun, Dec 28, 2014",9:30p,Phoenix Suns,116,Los Angeles Lakers,107,Box Score,,18997,
215,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
216,"Mon, Dec 29, 2014",7:00p,Milwaukee Bucks,104,Charlotte Hornets,94,Box Score,OT,17430,
217,"Mon, Dec 29, 2014",7:00p,Chicago Bulls,92,Indiana Pacers,90,Box Score,,18165,
218,"Mon, Dec 29, 2014",7:30p,Sacramento Kings,99,Brooklyn Nets,107,Box Score,,17732,
219,"Mon, Dec 29, 2014",7:30p,Orlando Magic,102,Miami Heat,101,Box Score,,19887,
220,"Mon, Dec 29, 2014",8:00p,Washington Wizards,104,Houston Rockets,103,Box Score,,18322,
221,"Mon, Dec 29, 2014",10:30p,Utah Jazz,97,Los Angeles Clippers,101,Box Score,,19060,
222,"Tue, Dec 30, 2014",7:00p,Detroit Pistons,109,Orlando Magic,86,Box Score,,17414,
223,"Tue, Dec 30, 2014",7:30p,Cleveland Cavaliers,101,Atlanta Hawks,109,Box Score,,19215,
224,"Tue, Dec 30, 2014",8:00p,Brooklyn Nets,96,Chicago Bulls,82,Box Score,,22032,
225,"Tue, Dec 30, 2014",8:00p,San Antonio Spurs,87,Memphis Grizzlies,95,Box Score,,18119,
226,"Tue, Dec 30, 2014",8:00p,Phoenix Suns,106,New Orleans Pelicans,110,Box Score,,16364,
227,"Tue, Dec 30, 2014",8:30p,Washington Wizards,87,Dallas Mavericks,114,Box Score,,20397,
228,"Tue, Dec 30, 2014",9:00p,Los Angeles Lakers,111,Denver Nuggets,103,Box Score,,17248,
229,"Tue, Dec 30, 2014",9:00p,Minnesota Timberwolves,94,Utah Jazz,100,Box Score,,18947,
230,"Tue, Dec 30, 2014",10:00p,Toronto Raptors,97,Portland Trail Blazers,102,Box Score,OT,20053,
231,"Tue, Dec 30, 2014",10:30p,Philadelphia 76ers,86,Golden State Warriors,126,Box Score,,19596,
232,"Wed, Dec 31, 2014",1:00p,Sacramento Kings,84,Boston Celtics,106,Box Score,,18624,
233,"Wed, Dec 31, 2014",3:00p,Miami Heat,95,Indiana Pacers,106,Box Score,,18165,
234,"Wed, Dec 31, 2014",6:00p,New York Knicks,78,Los Angeles Clippers,99,Box Score,,19198,
235,"Wed, Dec 31, 2014",7:00p,Milwaukee Bucks,96,Cleveland Cavaliers,80,Box Score,,20562,
236,"Wed, Dec 31, 2014",7:00p,Charlotte Hornets,83,Houston Rockets,102,Box Score,,18276,
237,"Wed, Dec 31, 2014",7:00p,New Orleans Pelicans,93,San Antonio Spurs,95,Box Score,OT,18581,
238,"Wed, Dec 31, 2014",8:00p,Phoenix Suns,134,Oklahoma City Thunder,137,Box Score,OT,18203,
0,"Thu, Jan 1, 2015",8:00p,Denver Nuggets,101,Chicago Bulls,106,Box Score,,21794,
1,"Thu, Jan 1, 2015",8:00p,Sacramento Kings,110,Minnesota Timberwolves,107,Box Score,,13337,
2,"Fri, Jan 2, 2015",7:00p,Cleveland Cavaliers,91,Charlotte Hornets,87,Box Score,,19307,
3,"Fri, Jan 2, 2015",7:00p,Brooklyn Nets,100,Orlando Magic,98,Box Score,,17008,
4,"Fri, Jan 2, 2015",7:30p,Dallas Mavericks,119,Boston Celtics,101,Box Score,,18624,
5,"Fri, Jan 2, 2015",7:30p,Detroit Pistons,97,New York Knicks,81,Box Score,,19812,
6,"Fri, Jan 2, 2015",8:00p,Houston Rockets,83,New Orleans Pelicans,111,Box Score,,17705,
7,"Fri, Jan 2, 2015",8:00p,Washington Wizards,102,Oklahoma City Thunder,109,Box Score,,18203,
8,"Fri, Jan 2, 2015",8:30p,Indiana Pacers,94,Milwaukee Bucks,91,Box Score,,16238,
9,"Fri, Jan 2, 2015",9:00p,Philadelphia 76ers,96,Phoenix Suns,112,Box Score,,16514,
10,"Fri, Jan 2, 2015",9:00p,Atlanta Hawks,98,Utah Jazz,92,Box Score,,19029,
11,"Fri, Jan 2, 2015",10:30p,Toronto Raptors,105,Golden State Warriors,126,Box Score,,19596,
12,"Fri, Jan 2, 2015",10:30p,Memphis Grizzlies,109,Los Angeles Lakers,106,Box Score,,18997,
13,"Sat, Jan 3, 2015",7:00p,Charlotte Hornets,98,Orlando Magic,90,Box Score,,15274,
14,"Sat, Jan 3, 2015",8:00p,Boston Celtics,104,Chicago Bulls,109,Box Score,OT,21820,
15,"Sat, Jan 3, 2015",8:00p,Miami Heat,79,Houston Rockets,115,Box Score,,18338,
16,"Sat, Jan 3, 2015",8:00p,Utah Jazz,101,Minnesota Timberwolves,89,Box Score,,13702,
17,"Sat, Jan 3, 2015",8:30p,Washington Wizards,92,San Antonio Spurs,101,Box Score,,18581,
18,"Sat, Jan 3, 2015",9:00p,Memphis Grizzlies,85,Denver Nuggets,114,Box Score,,16350,
19,"Sat, Jan 3, 2015",10:00p,Atlanta Hawks,115,Portland Trail Blazers,107,Box Score,,19829,
20,"Sat, Jan 3, 2015",10:30p,Philadelphia 76ers,91,Los Angeles Clippers,127,Box Score,,19060,
21,"Sun, Jan 4, 2015",1:00p,Dallas Mavericks,109,Cleveland Cavaliers,90,Box Score,,20562,
22,"Sun, Jan 4, 2015",6:00p,Sacramento Kings,95,Detroit Pistons,114,Box Score,,12254,
23,"Sun, Jan 4, 2015",6:00p,Brooklyn Nets,84,Miami Heat,88,Box Score,,20181,
24,"Sun, Jan 4, 2015",7:30p,Milwaukee Bucks,95,New York Knicks,82,Box Score,,19812,
25,"Sun, Jan 4, 2015",8:00p,Toronto Raptors,109,Phoenix Suns,125,Box Score,,17166,
26,"Sun, Jan 4, 2015",9:30p,Indiana Pacers,87,Los Angeles Lakers,88,Box Score,,18997,
27,"Mon, Jan 5, 2015",7:00p,Cleveland Cavaliers,92,Philadelphia 76ers,95,Box Score,,17771,
28,"Mon, Jan 5, 2015",7:30p,Charlotte Hornets,104,Boston Celtics,95,Box Score,,16720,
29,"Mon, Jan 5, 2015",7:30p,Dallas Mavericks,96,Brooklyn Nets,88,Box Score,OT,17732,
30,"Mon, Jan 5, 2015",8:00p,Houston Rockets,105,Chicago Bulls,114,Box Score,,21510,
